max_velocity,weighted_velocity,mean_velocity,freq_of_max,area,label
3.1289779801636485e-11,1.438560989748294e-13,3.336313816555672e-13,0.8281266062163605,6.142040216696264e-08,impact_mq
4.564699984800103e-11,8.855850890245877e-13,1.876871136406772e-12,0.9185568299567656,1.0262191838903309e-07,impact_mq
1.2133861004368613e-10,1.8265070533917944e-13,4.631829240886002e-13,0.8281206687343421,5.783970205236178e-08,impact_mq
6.456670354970602e-11,1.425195944751063e-13,3.384065256558296e-13,0.828121749863617,6.014410617111242e-08,impact_mq
4.5121804257738457e-11,1.0830573207058337e-12,2.4394605273859404e-12,0.928804278348319,2.1044125388616188e-08,impact_mq
2.051390719338368e-11,1.1357021950539033e-13,2.352262677275252e-13,0.8281235076274316,5.218862662252895e-08,impact_mq
3.25821198338575e-11,1.3107553938316798e-13,2.612475225180904e-13,0.828129145952549,4.3362762204251705e-08,deep_mq
1.641627816728518e-10,7.348404130857413e-12,1.2204260210524965e-11,0.9077275433258368,9.199781734972248e-07,shallow_mq
2.9101193496041956e-11,6.421473298786418e-13,1.3781158658567084e-12,0.8508218150404656,5.847859142689074e-08,impact_mq
2.5849298052095963e-11,1.3736747276388837e-13,2.986694725267577e-13,0.8281414155066,6.312639146532301e-08,impact_mq
1.6412451357147674e-11,1.2535449683896649e-13,2.7174597388052673e-13,0.8281282501618947,5.2899918886942014e-08,impact_mq
1.4742184958309438e-11,1.4707690071311422e-13,3.33136723162543e-13,0.8281304113438103,3.7278488139304006e-08,deep_mq
1.3521326904363642e-11,1.2062742583896096e-13,3.1051837461580817e-13,0.8281234430023708,5.313083410584067e-08,impact_mq
2.238065554501133e-11,3.871927873657111e-13,8.266926448650905e-13,0.8281442902732377,4.129414102945866e-08,impact_mq
4.326955049584262e-11,4.0669940420864006e-13,8.664477283034631e-13,0.8281491555581485,4.61851020758427e-08,impact_mq
2.137928694620621e-11,1.1363808210262449e-13,2.38261676140555e-13,0.8281217294287238,4.7656303058055784e-08,impact_mq
1.1131412373813946e-11,2.8964686724821174e-13,6.147429539368617e-13,0.903833573894474,2.84164259427849e-08,deep_mq
1.0926718915479548e-11,4.111700011476119e-13,7.605767477176129e-13,0.9321169966921926,1.878610872325946e-07,impact_mq
6.698886069926709e-11,1.5215038292282297e-12,3.20533094066175e-12,0.9102043915986808,1.4515146530837311e-08,impact_mq
2.6029261356604977e-11,3.3465424098482974e-13,8.18897179681401e-13,0.8281338901353716,7.744525044696565e-08,impact_mq
9.760103899308344e-11,2.0941776438600525e-12,4.210017732011759e-12,0.8789223582474227,2.6911949685988684e-08,impact_mq
1.4405155774883784e-11,2.545830236872981e-13,6.017778905012629e-13,0.8280895907071764,8.875123804260168e-08,impact_mq
1.8891631963941708e-10,1.0409341683609596e-11,1.6869930530190662e-11,0.918133556859458,3.085010088932824e-07,impact_mq
3.407345005043781e-11,2.909817972593876e-13,6.431900030659327e-13,0.8281299371031687,4.0418021806092015e-08,impact_mq
2.2043386152785625e-11,1.889525551415848e-13,4.549956550620963e-13,0.8281272644246415,5.7224490945153437e-08,impact_mq
5.3902500953407177e-11,8.893337544072656e-13,1.803906338571265e-12,0.8814346960353784,9.542344138480457e-08,impact_mq
1.1604772033878891e-10,1.6310141051318541e-13,4.13537008954885e-13,0.8281320864507773,4.735185889575726e-08,deep_mq
1.5292985775294635e-10,2.376323480123374e-13,5.876814363780751e-13,0.828125,4.5522478881625074e-08,impact_mq
1.7898866219562352e-10,1.3092479794986358e-13,3.468291833365446e-13,0.828125,6.107178268748395e-08,impact_mq
2.378058565106753e-11,1.9667878697957918e-13,4.608689437981601e-13,0.8281299484317393,8.177104033204308e-08,impact_mq
3.3562613715966994e-11,2.461201152132329e-13,6.472819361088108e-13,0.8281178899830863,4.7478231535410334e-08,impact_mq
3.6778654532011085e-11,1.9924818961061686e-13,5.169407599316389e-13,0.8281234990801911,9.103859305323188e-08,shallow_mq
6.672553307645319e-11,2.86193488275355e-13,6.758815079852985e-13,0.8281162594332155,6.736387894621398e-08,impact_mq
5.6437526840432086e-11,5.636102321832072e-13,1.1575350257175686e-12,0.8281084236864054,6.995074911401543e-08,impact_mq
1.755147304303793e-10,9.065458895707428e-12,1.5109831402135547e-11,0.9327938174394867,1.0296907999144418e-06,impact_mq
1.8086269337509612e-10,6.075516955438053e-12,1.1880518852991818e-11,0.3947097279546892,1.670025190237282e-06,impact_mq
2.2681229689083437e-11,3.249054702973298e-13,6.390915801091883e-13,0.8281512039996203,5.101852515254095e-08,impact_mq
4.490986313221793e-11,1.6261231673240142e-13,3.8723239716668267e-13,0.8281300565622601,6.616184209534657e-08,impact_mq
